"","id","name","latitude","longitude"
"1","GHCND:US1CALA0001","GLENDALE 2.4 WSW, CA US",34.1689,-118.2947
"2","GHCND:US1CALA0002","WHITTIER 3.6 ESE, CA US",33.937285,-117.984379
"3","GHCND:US1CALA0003","TORRANCE 2.8 SW, CA US",33.79018,-118.33689
"4","GHCND:US1CALA0005","ALTADENA 0.7 ESE, CA US",34.187426,-118.124477
"5","GHCND:US1CALA0006","SANTA MONICA 1.9 E, CA US",34.01655,-118.459786
"6","GHCND:US1CALA0007","WOODLAND HILLS 2.6 WNW, CA US",34.180539,-118.649677
"7","GHCND:US1CALA0008","MONTE NIDO 0.2 SSW, CA US",34.0786,-118.687
"8","GHCND:US1CALA0009","SHERMAN OAKS 1.7 ENE, CA US",34.154267,-118.419999
"9","GHCND:US1CALA0010","WHITTIER 2.9 WNW, CA US",33.986232,-118.066418
"10","GHCND:US1CALA0011","REDONDO BEACH 2.6 S, CA US",33.819239,-118.377093
"11","GHCND:US1CALA0012","WINNETKA 0.7 SSE, CA US",34.203289,-118.568
"12","GHCND:US1CALA0013","SOUTH GATE 1.1 WNW, CA US",33.950549,-118.208863
"13","GHCND:US1CALA0014","CANYON COUNTRY 2.6 E, CA US",34.4268,-118.4275
"14","GHCND:US1CALA0015","CLAREMONT 0.5 E, CA US",34.120951,-117.706846
"15","GHCND:US1CALA0021","ARCADIA 2.1 NNE, CA US",34.161742,-118.028495
"16","GHCND:US1CALA0023","DIAMOND BAR 1.9 NNE, CA US",34.02319,-117.79646
"17","GHCND:US1CALA0029","CARSON 0.7 NW, CA US",33.84374,-118.264861
"18","GHCND:US1CALA0030","LOS ANGELES 4.3 NNW, CA US",34.1712429,-118.435285
"19","GHCND:US1CALA0031","LANCASTER 6.5 ENE, CA US",34.718443,-118.065884
"20","GHCND:US1CALA0033","BURBANK 1.1 ENE, CA US",34.1988,-118.3093
"21","GHCND:US1CALA0034","LA CRESCENTA MONTROSE 3.9 NW, CA US",34.26996,-118.287375
"22","GHCND:US1CALA0035","RANCHO PALOS VERDES 2.0 NW, CA US",33.77983,-118.38522
"23","GHCND:US1CALA0036","PASADENA 2.0 SE, CA US",34.13916,-118.11611
"24","GHCND:US1CALA0038","LONG BEACH 1.1 SE, CA US",33.776585,-118.146667
"25","GHCND:US1CALA0039","RANCHO PALOS VERDES 1.3 NNW, CA US",33.775345,-118.370416
"26","GHCND:US1CALA0041","SAN FERNANDO 4.2 E, CA US",34.27934,-118.36301
"27","GHCND:US1CALA0043","PASADENA 1.8 E, CA US",34.16192,-118.107335
"28","GHCND:US1CALA0044","TORRANCE 0.7 E, CA US",33.833958,-118.328091
"29","GHCND:US1CALA0046","LA CRESCENTA MONTROSE 1.6 WNW, CA US",34.2406349182129,-118.261100769043
"30","GHCND:US1CALA0048","SANTA MONICA 1.3 NNE, CA US",34.0317628,-118.4852755
"31","GHCND:US1CALA0049","CULVER CITY 1.6 SSW, CA US",33.986,-118.409019
"32","GHCND:US1CALA0051","LANCASTER 3.9 ESE, CA US",34.680183,-118.110252
"33","GHCND:US1CALA0054","CALABASAS 1.9 E, CA US",34.140575,-118.628128
"34","GHCND:US1CALA0057","LOMITA 0.6 SE, CA US",33.786674,-118.310462
"35","GHCND:US1CALA0059","POMONA 1.8 SW, CA US",34.037367,-117.778839
"36","GHCND:US1CALA0060","SANTA CLARITA 1.4 ESE, CA US",34.406421,-118.486567
"37","GHCND:US1CALA0063","ALTADENA 1.9 ESE, CA US",34.179095,-118.10471
"38","GHCND:US1CALA0064","LOS ANGELES 2.6 NW, CA US",34.080912,-118.272927
"39","GHCND:US1CALA0066","PACIFIC PALISADES 1.3 NW, CA US",34.0473,-118.5326
"40","GHCND:US1CALA0067","SANTA CLARITA 3.1 WSW, CA US",34.389781,-118.556905
"41","GHCND:US1CALA0068","ARTESIA 0.5 W, CA US",33.8675,-118.089
"42","GHCND:US1CALA0075","SAN PEDRO 1.4 W, CA US",33.739491,-118.316893
"43","GHCND:US1CALA0077","LANCASTER 5.5 E, CA US",34.6831252,-118.080219
"44","GHCND:US1CALA0078","REDONDO BEACH 2.0 SSW, CA US",33.829854,-118.388171
"45","GHCND:US1CALA0081","GLENDORA 1.4 ESE, CA US",34.13545,-117.82381
"46","GHCND:US1CALA0083","LA CRESCENTA MONTROSE 0.3 NE, CA US",34.23706,-118.23181
"47","GHCND:US1CALA0085","SOUTH PASADENA 3.7 WSW, CA US",34.100018,-118.219608
"48","GHCND:US1CALA0087","VALENCIA 1.7 SE, CA US",34.4371,-118.552
"49","GHCND:US1CALA0089","SOUTH PASADENA 0.9 SSW, CA US",34.100379,-118.165409
"50","GHCND:US1CALA0090","GLENDALE 3.0 ESE, CA US",34.15343,-118.20978
"51","GHCND:US1CALA0091","PASADENA 0.8 ENE, CA US",34.164802,-118.124917
"52","GHCND:US1CALA0092","REDONDO BEACH 2.1 SSW, CA US",33.827393,-118.388804
"53","GHCND:US1CALA0096","CLAREMONT 0.6 SSE, CA US",34.11355,-117.71131
"54","GHCND:US1CALA0097","ROLLING HILLS 3.9 SE, CA US",33.721466,-118.295421
"55","GHCND:US1CALA0104","SAN FERNANDO 7.8 SW, CA US",34.1977,-118.5138
"56","GHCND:US1CALA0106","CLAREMONT 0.7 SE, CA US",34.115891,-117.705592
"57","GHCND:US1CALA0108","AGOURA HILLS 1.3 NNE, CA US",34.167445,-118.749423
"58","GHCND:US1CALA0109","ALTADENA 1.7 W, CA US",34.1904966,-118.1647785
